,0,1,2,3
0,"(0, 0)",AR2*RFF,5702.810546875,"[['raw_outputscale', 0.6444382071495056], ['base_kernel.kernels.0.raw_lengthscale', 0.7445948719978333], ['base_kernel.kernels.0.raw_period', 0.0024313642643392086], ['base_kernel.kernels.1.raw_lengthscale', 0.7442530989646912]]"
1,"(0, 1)",AR2*RFF+RQ,5721.9462890625,"[['kernels.0.raw_outputscale', 0.6444467306137085], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7445899844169617], ['kernels.0.base_kernel.kernels.0.raw_period', 0.002431292552500963], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7441766262054443], ['kernels.1.raw_outputscale', 0.6445239782333374], ['kernels.1.base_kernel.raw_lengthscale', 0.7441713809967041], ['kernels.1.base_kernel.raw_alpha', 0.6460932493209839]]"
2,"(0, 2)",AR2*RFF+RBF,5718.16015625,"[['kernels.0.raw_outputscale', 0.644446611404419], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7445905804634094], ['kernels.0.base_kernel.kernels.0.raw_period', 0.0024310892913490534], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.744160532951355], ['kernels.1.raw_outputscale', 0.6442343592643738], ['kernels.1.base_kernel.raw_lengthscale', 0.6461517810821533]]"
3,"(0, 3)",AR2*RFF+Mat_2.5,5717.43798828125,"[['kernels.0.raw_outputscale', 0.6444474458694458], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7445895075798035], ['kernels.0.base_kernel.kernels.0.raw_period', 0.002431376837193966], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7442022562026978], ['kernels.1.raw_outputscale', 0.6445198655128479], ['kernels.1.base_kernel.raw_lengthscale', 0.7438924908638]]"
4,"(0, 4)",AR2*RFF+Mat_1.5,5715.2822265625,"[['kernels.0.raw_outputscale', 0.6444467306137085], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7445892095565796], ['kernels.0.base_kernel.kernels.0.raw_period', 0.002432215493172407], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7441502213478088], ['kernels.1.raw_outputscale', 0.6447994112968445], ['kernels.1.base_kernel.raw_lengthscale', 0.6969881653785706]]"
5,"(0, 5)",AR2*RFF+Mat_0.5,5713.232421875,"[['kernels.0.raw_outputscale', 0.6444494128227234], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7445904612541199], ['kernels.0.base_kernel.kernels.0.raw_period', 0.0024306192062795162], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7442231178283691], ['kernels.1.raw_outputscale', 0.6445952653884888], ['kernels.1.base_kernel.raw_lengthscale', 0.7444064021110535]]"
6,"(0, 6)",AR2*RFF+AR2,5742.30615234375,"[['kernels.0.raw_outputscale', 0.6444451212882996], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7445449233055115], ['kernels.0.base_kernel.kernels.0.raw_period', 0.0025098712649196386], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7434488534927368], ['kernels.1.raw_outputscale', 0.6444387435913086], ['kernels.1.base_kernel.raw_lengthscale', 0.7445545196533203], ['kernels.1.base_kernel.raw_period', 0.002504427684471011]]"
7,"(0, 7)",AR2*RFF+Min,5704.2119140625,"[['kernels.0.raw_outputscale', 0.6444488167762756], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7445900440216064], ['kernels.0.base_kernel.kernels.0.raw_period', 0.0024307677522301674], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7441965341567993], ['kernels.1.raw_outputscale', 0.6447533965110779], ['kernels.1.base_kernel.raw_offset', 0.09048201888799667]]"
8,"(0, 8)",AR2*RFF+Per_Arb,5716.654296875,"[['kernels.0.raw_outputscale', 0.6444368958473206], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7445936799049377], ['kernels.0.base_kernel.kernels.0.raw_period', 0.0024308268912136555], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7441656589508057], ['kernels.1.raw_outputscale', 0.6439008116722107], ['kernels.1.base_kernel.raw_lengthscale', 0.6456270217895508], ['kernels.1.base_kernel.raw_period_length', 0.4850536584854126]]"
9,"(0, 9)",AR2*RFF+Per_Year,5711.34375,"[['kernels.0.raw_outputscale', 0.6444473266601562], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7445950508117676], ['kernels.0.base_kernel.kernels.0.raw_period', 0.0024308825377374887], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7441519498825073], ['kernels.1.raw_outputscale', 0.6448801755905151], ['kernels.1.base_kernel.raw_lengthscale', 0.7424368858337402], ['kernels.1.base_kernel.raw_period_length', 0.09584199637174606]]"
10,"(0, 10)",AR2*RFF+Per_Season,5731.89501953125,"[['kernels.0.raw_outputscale', 0.6444553136825562], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7445802092552185], ['kernels.0.base_kernel.kernels.0.raw_period', 0.0024314478505402803], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7441935539245605], ['kernels.1.raw_outputscale', 0.6443526148796082], ['kernels.1.base_kernel.raw_lengthscale', 0.7448424100875854], ['kernels.1.base_kernel.raw_period_length', 0.031755391508340836]]"
11,"(0, 11)",AR2*RFF+Per_Month,5740.244140625,"[['kernels.0.raw_outputscale', 0.6444506049156189], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7445840835571289], ['kernels.0.base_kernel.kernels.0.raw_period', 0.002431454136967659], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7441743612289429], ['kernels.1.raw_outputscale', 0.6446449160575867], ['kernels.1.base_kernel.raw_lengthscale', 0.7443891167640686], ['kernels.1.base_kernel.raw_period_length', 0.008179983124136925]]"
12,"(0, 12)",AR2*RFF+Per_Week,5728.7998046875,"[['kernels.0.raw_outputscale', 0.6444277763366699], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7445849776268005], ['kernels.0.base_kernel.kernels.0.raw_period', 0.002432445529848337], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7441525459289551], ['kernels.1.raw_outputscale', 0.7446945309638977], ['kernels.1.base_kernel.raw_lengthscale', 0.6443287134170532], ['kernels.1.base_kernel.raw_period_length', 0.001862336415797472]]"
13,"(0, 13)",AR2*RFF+Per_Unbounded,5721.0380859375,"[['kernels.0.raw_outputscale', 0.644440233707428], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7445916533470154], ['kernels.0.base_kernel.kernels.0.raw_period', 0.002430936088785529], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7441366314888], ['kernels.1.raw_outputscale', 0.6443020105361938], ['kernels.1.base_kernel.raw_lengthscale', 0.6743733286857605], ['kernels.1.base_kernel.raw_period_length', 0.654462993144989]]"
14,"(0, 14)",AR2*RFF*RFF,5707.7080078125,"[['raw_outputscale', 0.6444381475448608], ['base_kernel.kernels.0.raw_lengthscale', 0.7445950508117676], ['base_kernel.kernels.0.raw_period', 0.0024312131572514772], ['base_kernel.kernels.1.raw_lengthscale', 0.7441850900650024], ['base_kernel.kernels.2.raw_lengthscale', 0.7441596984863281]]"
15,"(0, 15)",AR2*RFF*RQ,5712.1845703125,"[['raw_outputscale', 0.6444380879402161], ['base_kernel.kernels.0.raw_lengthscale', 0.7445952296257019], ['base_kernel.kernels.0.raw_period', 0.0024312033783644438], ['base_kernel.kernels.1.raw_lengthscale', 0.7441836595535278], ['base_kernel.kernels.2.raw_lengthscale', 0.7445107102394104], ['base_kernel.kernels.2.raw_alpha', 0.7399327158927917]]"
16,"(0, 16)",AR2*RFF*RBF,5707.72412109375,"[['raw_outputscale', 0.6444382667541504], ['base_kernel.kernels.0.raw_lengthscale', 0.7445951700210571], ['base_kernel.kernels.0.raw_period', 0.002431025728583336], ['base_kernel.kernels.1.raw_lengthscale', 0.7441347241401672], ['base_kernel.kernels.2.raw_lengthscale', 0.744512140750885]]"
