,0,1,2,3
0,"(0, 0)",AR2*RFF,5818.82666015625,"[['raw_outputscale', 0.6684630513191223], ['base_kernel.kernels.0.raw_lengthscale', 0.718774139881134], ['base_kernel.kernels.0.raw_period', 0.0024888645857572556], ['base_kernel.kernels.1.raw_lengthscale', 0.7184123992919922]]"
0,"(1, 0)",AR2*RFF,5818.82373046875,"[['raw_outputscale', 0.6684631109237671], ['base_kernel.kernels.0.raw_lengthscale', 0.718774139881134], ['base_kernel.kernels.0.raw_period', 0.002488843398168683], ['base_kernel.kernels.1.raw_lengthscale', 0.7184146642684937]]"
0,"(2, 0)",AR2*RFF,5818.8291015625,"[['raw_outputscale', 0.6684631109237671], ['base_kernel.kernels.0.raw_lengthscale', 0.718774139881134], ['base_kernel.kernels.0.raw_period', 0.002488787053152919], ['base_kernel.kernels.1.raw_lengthscale', 0.7184320092201233]]"
1,"(2, 1)",AR2*RFF+RQ,5837.51025390625,"[['kernels.0.raw_outputscale', 0.6684655547142029], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.718772292137146], ['kernels.0.base_kernel.kernels.0.raw_period', 0.0024888196494430304], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7184355854988098], ['kernels.1.raw_outputscale', 0.6684861779212952], ['kernels.1.base_kernel.raw_lengthscale', 0.7187076210975647], ['kernels.1.base_kernel.raw_alpha', 0.6698894500732422]]"
2,"(2, 2)",AR2*RFF+RBF,5833.5869140625,"[['kernels.0.raw_outputscale', 0.6684656143188477], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7187724113464355], ['kernels.0.base_kernel.kernels.0.raw_period', 0.002488796366378665], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7184277772903442], ['kernels.1.raw_outputscale', 0.6684549450874329], ['kernels.1.base_kernel.raw_lengthscale', 0.6689695119857788]]"
3,"(2, 3)",AR2*RFF+Mat_2.5,5832.94873046875,"[['kernels.0.raw_outputscale', 0.6684656143188477], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7187721729278564], ['kernels.0.base_kernel.kernels.0.raw_period', 0.002488756785169244], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7184273600578308], ['kernels.1.raw_outputscale', 0.6684879660606384], ['kernels.1.base_kernel.raw_lengthscale', 0.7186633348464966]]"
4,"(2, 4)",AR2*RFF+Mat_1.5,5831.0712890625,"[['kernels.0.raw_outputscale', 0.6684656143188477], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7187721729278564], ['kernels.0.base_kernel.kernels.0.raw_period', 0.0024888762272894382], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7184207439422607], ['kernels.1.raw_outputscale', 0.6685293912887573], ['kernels.1.base_kernel.raw_lengthscale', 0.7111945152282715]]"
5,"(2, 5)",AR2*RFF+Mat_0.5,5831.49560546875,"[['kernels.0.raw_outputscale', 0.6684659123420715], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7187722325325012], ['kernels.0.base_kernel.kernels.0.raw_period', 0.002488965168595314], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.718404233455658], ['kernels.1.raw_outputscale', 0.6684869527816772], ['kernels.1.base_kernel.raw_lengthscale', 0.7187469601631165]]"
6,"(2, 6)",AR2*RFF+AR2,5859.13623046875,"[['kernels.0.raw_outputscale', 0.6684627532958984], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7187742590904236], ['kernels.0.base_kernel.kernels.0.raw_period', 0.002501435112208128], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7183911204338074], ['kernels.1.raw_outputscale', 0.6684626340866089], ['kernels.1.base_kernel.raw_lengthscale', 0.7187742590904236], ['kernels.1.base_kernel.raw_period', 0.002493590582162142]]"
7,"(2, 7)",AR2*RFF+Min,5821.34765625,"[['kernels.0.raw_outputscale', 0.6684658527374268], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7187722325325012], ['kernels.0.base_kernel.kernels.0.raw_period', 0.002488834783434868], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7184138894081116], ['kernels.1.raw_outputscale', 0.66850745677948], ['kernels.1.base_kernel.raw_offset', 0.09513126313686371]]"
8,"(2, 8)",AR2*RFF+Per_Arb,5833.0966796875,"[['kernels.0.raw_outputscale', 0.6684638261795044], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7187731266021729], ['kernels.0.base_kernel.kernels.0.raw_period', 0.0024888096377253532], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7184140086174011], ['kernels.1.raw_outputscale', 0.6684668660163879], ['kernels.1.base_kernel.raw_lengthscale', 0.6688386797904968], ['kernels.1.base_kernel.raw_period_length', 0.485128790140152]]"
9,"(2, 9)",AR2*RFF+Per_Year,5828.5234375,"[['kernels.0.raw_outputscale', 0.6684657335281372], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7187727689743042], ['kernels.0.base_kernel.kernels.0.raw_period', 0.0024888080079108477], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7184226512908936], ['kernels.1.raw_outputscale', 0.6685249209403992], ['kernels.1.base_kernel.raw_lengthscale', 0.718519389629364], ['kernels.1.base_kernel.raw_period_length', 0.09497307240962982]]"
10,"(2, 10)",AR2*RFF+Per_Season,5851.85791015625,"[['kernels.0.raw_outputscale', 0.6684690117835999], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7187686562538147], ['kernels.0.base_kernel.kernels.0.raw_period', 0.0024889593478292227], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.718395471572876], ['kernels.1.raw_outputscale', 0.6684464812278748], ['kernels.1.base_kernel.raw_lengthscale', 0.7188313007354736], ['kernels.1.base_kernel.raw_period_length', 0.032319940626621246]]"
11,"(2, 11)",AR2*RFF+Per_Month,5856.22509765625,"[['kernels.0.raw_outputscale', 0.6684653759002686], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7187718152999878], ['kernels.0.base_kernel.kernels.0.raw_period', 0.002488859696313739], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7184146046638489], ['kernels.1.raw_outputscale', 0.6684969067573547], ['kernels.1.base_kernel.raw_lengthscale', 0.7187161445617676], ['kernels.1.base_kernel.raw_period_length', 0.008238444104790688]]"
12,"(2, 12)",AR2*RFF+Per_Week,5845.25244140625,"[['kernels.0.raw_outputscale', 0.6684572100639343], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7187767624855042], ['kernels.0.base_kernel.kernels.0.raw_period', 0.00248882919549942], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7184288501739502], ['kernels.1.raw_outputscale', 0.7185261249542236], ['kernels.1.base_kernel.raw_lengthscale', 0.668717622756958], ['kernels.1.base_kernel.raw_period_length', 0.0017995162634178996]]"
13,"(2, 13)",AR2*RFF+Per_Unbounded,5837.0537109375,"[['kernels.0.raw_outputscale', 0.6684644818305969], ['kernels.0.base_kernel.kernels.0.raw_lengthscale', 0.7187727093696594], ['kernels.0.base_kernel.kernels.0.raw_period', 0.002488840138539672], ['kernels.0.base_kernel.kernels.1.raw_lengthscale', 0.7184054851531982], ['kernels.1.raw_outputscale', 0.6684749126434326], ['kernels.1.base_kernel.raw_lengthscale', 0.6835864782333374], ['kernels.1.base_kernel.raw_period_length', 0.6694642305374146]]"
14,"(2, 14)",AR2*RFF*RFF,5823.740234375,"[['raw_outputscale', 0.6684631109237671], ['base_kernel.kernels.0.raw_lengthscale', 0.7187741994857788], ['base_kernel.kernels.0.raw_period', 0.0024888257030397654], ['base_kernel.kernels.1.raw_lengthscale', 0.7184267640113831], ['base_kernel.kernels.2.raw_lengthscale', 0.7184204459190369]]"
15,"(2, 15)",AR2*RFF*RQ,5828.2119140625,"[['raw_outputscale', 0.6684631109237671], ['base_kernel.kernels.0.raw_lengthscale', 0.718774139881134], ['base_kernel.kernels.0.raw_period', 0.002488820580765605], ['base_kernel.kernels.1.raw_lengthscale', 0.7184092998504639], ['base_kernel.kernels.2.raw_lengthscale', 0.7187407612800598], ['base_kernel.kernels.2.raw_alpha', 0.7164269685745239]]"
16,"(2, 16)",AR2*RFF*RBF,5823.7783203125,"[['raw_outputscale', 0.6684631109237671], ['base_kernel.kernels.0.raw_lengthscale', 0.7187741994857788], ['base_kernel.kernels.0.raw_period', 0.0024887793697416782], ['base_kernel.kernels.1.raw_lengthscale', 0.7184051275253296], ['base_kernel.kernels.2.raw_lengthscale', 0.718744158744812]]"
17,"(2, 17)",AR2*RFF*Mat_2.5,5824.08056640625,"[['raw_outputscale', 0.6684631705284119], ['base_kernel.kernels.0.raw_lengthscale', 0.718774139881134], ['base_kernel.kernels.0.raw_period', 0.002488824538886547], ['base_kernel.kernels.1.raw_lengthscale', 0.7184028625488281], ['base_kernel.kernels.2.raw_lengthscale', 0.7187544703483582]]"
18,"(2, 18)",AR2*RFF*Mat_1.5,5824.7138671875,"[['raw_outputscale', 0.6684631109237671], ['base_kernel.kernels.0.raw_lengthscale', 0.7187743186950684], ['base_kernel.kernels.0.raw_period', 0.002488750033080578], ['base_kernel.kernels.1.raw_lengthscale', 0.7184153199195862], ['base_kernel.kernels.2.raw_lengthscale', 0.7187569737434387]]"
19,"(2, 19)",AR2*RFF*Mat_0.5,5849.41552734375,"[['raw_outputscale', 0.668462872505188], ['base_kernel.kernels.0.raw_lengthscale', 0.7187753319740295], ['base_kernel.kernels.0.raw_period', 0.002488611964508891], ['base_kernel.kernels.1.raw_lengthscale', 0.7183896899223328], ['base_kernel.kernels.2.raw_lengthscale', 0.7187731862068176]]"
20,"(2, 20)",AR2*RFF*AR2,5837.17529296875,"[['raw_outputscale', 0.6684706807136536], ['base_kernel.kernels.0.raw_lengthscale', 0.7187604308128357], ['base_kernel.kernels.0.raw_period', 0.002539776498451829], ['base_kernel.kernels.1.raw_lengthscale', 0.7184075117111206], ['base_kernel.kernels.2.raw_lengthscale', 0.7187598347663879], ['base_kernel.kernels.2.raw_period', 0.0025379834696650505]]"
21,"(2, 21)",AR2*RFF*Min,5819.8447265625,"[['raw_outputscale', 0.6684612035751343], ['base_kernel.kernels.0.raw_lengthscale', 0.7187661528587341], ['base_kernel.kernels.0.raw_period', 0.002488960511982441], ['base_kernel.kernels.1.raw_lengthscale', 0.7183814644813538], ['base_kernel.kernels.2.raw_offset', 0.09513425827026367]]"
22,"(2, 22)",AR2*RFF*Per_Arb,5852.1591796875,"[['raw_outputscale', 0.6684677004814148], ['base_kernel.kernels.0.raw_lengthscale', 0.7187696099281311], ['base_kernel.kernels.0.raw_period', 0.0025310020428150892], ['base_kernel.kernels.1.raw_lengthscale', 0.7184112071990967], ['base_kernel.kernels.2.raw_lengthscale', 0.7187640070915222], ['base_kernel.kernels.2.raw_period_length', 0.48688894510269165]]"
23,"(2, 23)",AR2*RFF*Per_Year,5906.47509765625,"[['raw_outputscale', 0.6684622168540955], ['base_kernel.kernels.0.raw_lengthscale', 0.7187982797622681], ['base_kernel.kernels.0.raw_period', 0.0024961577728390694], ['base_kernel.kernels.1.raw_lengthscale', 0.7184051871299744], ['base_kernel.kernels.2.raw_lengthscale', 0.718725323677063], ['base_kernel.kernels.2.raw_period_length', 0.09840954095125198]]"
24,"(2, 24)",AR2*RFF*Per_Season,5920.01025390625,"[['raw_outputscale', 0.6684744954109192], ['base_kernel.kernels.0.raw_lengthscale', 0.7187705039978027], ['base_kernel.kernels.0.raw_period', 0.0025501518975943327], ['base_kernel.kernels.1.raw_lengthscale', 0.718406617641449], ['base_kernel.kernels.2.raw_lengthscale', 0.7186942100524902], ['base_kernel.kernels.2.raw_period_length', 0.030977338552474976]]"
