,0,1,2,3
0,"(0, 0)",RBF,5747.1474609375,"[['raw_outputscale', 0.6684549450874329], ['base_kernel.raw_lengthscale', 0.6690043210983276]]"
0,"(1, 0)",RBF,5747.1474609375,"[['raw_outputscale', 0.6684549450874329], ['base_kernel.raw_lengthscale', 0.6690043210983276]]"
1,"(1, 1)",RBF+RQ,5761.056640625,"[['kernels.0.raw_outputscale', 0.6684912443161011], ['kernels.0.base_kernel.raw_lengthscale', 0.7187506556510925], ['kernels.1.raw_outputscale', 0.6684975624084473], ['kernels.1.base_kernel.raw_lengthscale', 0.7187206149101257], ['kernels.1.base_kernel.raw_alpha', 0.6692634224891663]]"
2,"(1, 2)",RBF+RBF,5756.83740234375,"[['kernels.0.raw_outputscale', 0.6685332655906677], ['kernels.0.base_kernel.raw_lengthscale', 0.718215823173523], ['kernels.1.raw_outputscale', 0.6685332655906677], ['kernels.1.base_kernel.raw_lengthscale', 0.718215823173523]]"
3,"(1, 3)",RBF+Mat_2.5,5756.27783203125,"[['kernels.0.raw_outputscale', 0.6684945225715637], ['kernels.0.base_kernel.raw_lengthscale', 0.7187449336051941], ['kernels.1.raw_outputscale', 0.668508768081665], ['kernels.1.base_kernel.raw_lengthscale', 0.7183883786201477]]"
4,"(1, 4)",RBF+Mat_1.5,5754.03857421875,"[['kernels.0.raw_outputscale', 0.6685121059417725], ['kernels.0.base_kernel.raw_lengthscale', 0.7186791300773621], ['kernels.1.raw_outputscale', 0.6685681939125061], ['kernels.1.base_kernel.raw_lengthscale', 0.6687402725219727]]"
5,"(1, 5)",RBF+Mat_0.5,5753.6640625,"[['kernels.0.raw_outputscale', 0.6685040593147278], ['kernels.0.base_kernel.raw_lengthscale', 0.7187181711196899], ['kernels.1.raw_outputscale', 0.6684890389442444], ['kernels.1.base_kernel.raw_lengthscale', 0.7187454104423523]]"
6,"(1, 6)",RBF+AR2,5828.5576171875,"[['kernels.0.raw_outputscale', 0.668455183506012], ['kernels.0.base_kernel.raw_lengthscale', 0.6689684391021729], ['kernels.1.raw_outputscale', 0.6684654951095581], ['kernels.1.base_kernel.raw_lengthscale', 0.7187722325325012], ['kernels.1.base_kernel.raw_period', 0.0024889616761356592]]"
7,"(1, 7)",RBF+Min,5744.51953125,"[['kernels.0.raw_outputscale', 0.6684908866882324], ['kernels.0.base_kernel.raw_lengthscale', 0.7187269330024719], ['kernels.1.raw_outputscale', 0.6685221195220947], ['kernels.1.base_kernel.raw_offset', 0.09519607573747635]]"
0,"(2, 0)",RBF+Min,5744.51953125,"[['kernels.0.raw_outputscale', 0.6684908866882324], ['kernels.0.base_kernel.raw_lengthscale', 0.7187269330024719], ['kernels.1.raw_outputscale', 0.6685221195220947], ['kernels.1.base_kernel.raw_offset', 0.09519607573747635]]"
1,"(2, 1)",RBF+Min+RQ,5758.60009765625,"[['kernels.0.raw_outputscale', 0.6685103178024292], ['kernels.0.base_kernel.raw_lengthscale', 0.718722939491272], ['kernels.1.raw_outputscale', 0.668524980545044], ['kernels.1.base_kernel.raw_offset', 0.0952506884932518], ['kernels.2.raw_outputscale', 0.6685088276863098], ['kernels.2.base_kernel.raw_lengthscale', 0.7187334299087524], ['kernels.2.base_kernel.raw_alpha', 0.7180307507514954]]"
2,"(2, 2)",RBF+Min+RBF,5754.0703125,"[['kernels.0.raw_outputscale', 0.6685097217559814], ['kernels.0.base_kernel.raw_lengthscale', 0.7187228202819824], ['kernels.1.raw_outputscale', 0.6685245633125305], ['kernels.1.base_kernel.raw_offset', 0.09524279087781906], ['kernels.2.raw_outputscale', 0.6685097217559814], ['kernels.2.base_kernel.raw_lengthscale', 0.7187228202819824]]"
3,"(2, 3)",RBF+Min+Mat_2.5,5754.41015625,"[['kernels.0.raw_outputscale', 0.6685123443603516], ['kernels.0.base_kernel.raw_lengthscale', 0.7187157273292542], ['kernels.1.raw_outputscale', 0.6685268878936768], ['kernels.1.base_kernel.raw_offset', 0.09524397552013397], ['kernels.2.raw_outputscale', 0.6685003638267517], ['kernels.2.base_kernel.raw_lengthscale', 0.7187368273735046]]"
4,"(2, 4)",RBF+Min+Mat_1.5,5755.0009765625,"[['kernels.0.raw_outputscale', 0.6685132384300232], ['kernels.0.base_kernel.raw_lengthscale', 0.7187097072601318], ['kernels.1.raw_outputscale', 0.6685307621955872], ['kernels.1.base_kernel.raw_offset', 0.09524451196193695], ['kernels.2.raw_outputscale', 0.66849285364151], ['kernels.2.base_kernel.raw_lengthscale', 0.7187447547912598]]"
5,"(2, 5)",RBF+Min+Mat_0.5,5768.00146484375,"[['kernels.0.raw_outputscale', 0.66851407289505], ['kernels.0.base_kernel.raw_lengthscale', 0.7186951041221619], ['kernels.1.raw_outputscale', 0.6684726476669312], ['kernels.1.base_kernel.raw_offset', 0.09524423629045486], ['kernels.2.raw_outputscale', 0.6684854030609131], ['kernels.2.base_kernel.raw_lengthscale', 0.7187497019767761]]"
6,"(2, 6)",RBF+Min+AR2,5826.9169921875,"[['kernels.0.raw_outputscale', 0.668491005897522], ['kernels.0.base_kernel.raw_lengthscale', 0.7187271118164062], ['kernels.1.raw_outputscale', 0.6685182452201843], ['kernels.1.base_kernel.raw_offset', 0.09519616514444351], ['kernels.2.raw_outputscale', 0.668465793132782], ['kernels.2.base_kernel.raw_lengthscale', 0.7187721729278564], ['kernels.2.base_kernel.raw_period', 0.0024887968320399523]]"
7,"(2, 7)",RBF+Min+Min,5758.46142578125,"[['kernels.0.raw_outputscale', 0.6684958338737488], ['kernels.0.base_kernel.raw_lengthscale', 0.7187066078186035], ['kernels.1.raw_outputscale', 0.6684837937355042], ['kernels.1.base_kernel.raw_offset', 0.09520741552114487], ['kernels.2.raw_outputscale', 0.6684837937355042], ['kernels.2.base_kernel.raw_offset', 0.09520741552114487]]"
