,0,1,2,3
0,"(0, 0)",RFF,5747.2216796875,"[['raw_outputscale', 0.668474555015564], ['base_kernel.raw_lengthscale', 0.668558657169342]]"
0,"(1, 0)",RFF,5747.01416015625,"[['raw_outputscale', 0.6686214208602905], ['base_kernel.raw_lengthscale', 0.670053243637085]]"
0,"(2, 0)",RFF,5747.25634765625,"[['raw_outputscale', 0.6688103675842285], ['base_kernel.raw_lengthscale', 0.6687348484992981]]"
1,"(2, 1)",RFF+RQ,5761.02490234375,"[['kernels.0.raw_outputscale', 0.6688627004623413], ['kernels.0.base_kernel.raw_lengthscale', 0.7184332609176636], ['kernels.1.raw_outputscale', 0.6684980988502502], ['kernels.1.base_kernel.raw_lengthscale', 0.7186736464500427], ['kernels.1.base_kernel.raw_alpha', 0.6692739725112915]]"
2,"(2, 2)",RFF+RBF,5756.83984375,"[['kernels.0.raw_outputscale', 0.668735682964325], ['kernels.0.base_kernel.raw_lengthscale', 0.7174360752105713], ['kernels.1.raw_outputscale', 0.6685364246368408], ['kernels.1.base_kernel.raw_lengthscale', 0.718032956123352]]"
3,"(2, 3)",RFF+Mat_2.5,5756.25634765625,"[['kernels.0.raw_outputscale', 0.6684714555740356], ['kernels.0.base_kernel.raw_lengthscale', 0.7183899283409119], ['kernels.1.raw_outputscale', 0.6685084700584412], ['kernels.1.base_kernel.raw_lengthscale', 0.7184250354766846]]"
4,"(2, 4)",RFF+Mat_1.5,5754.07080078125,"[['kernels.0.raw_outputscale', 0.6688299179077148], ['kernels.0.base_kernel.raw_lengthscale', 0.7183281183242798], ['kernels.1.raw_outputscale', 0.6685695648193359], ['kernels.1.base_kernel.raw_lengthscale', 0.6687301397323608]]"
5,"(2, 5)",RFF+Mat_0.5,5753.67138671875,"[['kernels.0.raw_outputscale', 0.6688802242279053], ['kernels.0.base_kernel.raw_lengthscale', 0.7180627584457397], ['kernels.1.raw_outputscale', 0.6684890985488892], ['kernels.1.base_kernel.raw_lengthscale', 0.7187454104423523]]"
6,"(2, 6)",RFF+AR2,5828.58740234375,"[['kernels.0.raw_outputscale', 0.6684929132461548], ['kernels.0.base_kernel.raw_lengthscale', 0.6685621738433838], ['kernels.1.raw_outputscale', 0.6684655547142029], ['kernels.1.base_kernel.raw_lengthscale', 0.718772292137146], ['kernels.1.base_kernel.raw_period', 0.002488733036443591]]"
7,"(2, 7)",RFF+Min,5744.5234375,"[['kernels.0.raw_outputscale', 0.6686909198760986], ['kernels.0.base_kernel.raw_lengthscale', 0.718445360660553], ['kernels.1.raw_outputscale', 0.6685221195220947], ['kernels.1.base_kernel.raw_offset', 0.09519626200199127]]"
