,path_location,Kernel,BIC
0,"(0, 0)",'RBF',-2010.927734375
1,"(1, 0)",'RBF+AR2+RBF',-2296.680419921875
2,"(2, 0)",'RBF+AR2*Per_Year+RBF',-2292.869873046875
3,"(3, 0)",'RBF+AR2*Per_Year*RBF+RBF',-2308.54736328125
4,"(4, 0)",'RBF+AR2*Per_Year*RBF*Mat_1.5+RBF',-2326.375732421875
5,"(0, 1)",'RBF+Mat_2.5',-2131.123046875
6,"(1, 1)",'RBF+AR2+Mat_2.5',-2333.44775390625
7,"(2, 1)",'RBF+AR2*Per_Year+Mat_2.5',
8,"(3, 1)",'RBF+AR2*Per_Year*RBF+Mat_2.5',-2029.7894287109375
9,"(4, 1)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Mat_2.5',-2291.3857421875
10,"(0, 2)",'RBF+Mat_1.5',
11,"(1, 2)",'RBF+AR2+Mat_1.5',
12,"(2, 2)",'RBF+AR2*Per_Year+Mat_1.5',-2080.906982421875
13,"(3, 2)",'RBF+AR2*Per_Year*RBF+Mat_1.5',-2010.8145751953125
14,"(4, 2)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Mat_1.5',-1994.3599853515625
15,"(0, 3)",'RBF+Mat_0.5',-1421.6612548828125
16,"(1, 3)",'RBF+AR2+Mat_0.5',-1466.1295166015625
17,"(2, 3)",'RBF+AR2*Per_Year+Mat_0.5',-1332.2467041015625
18,"(3, 3)",'RBF+AR2*Per_Year*RBF+Mat_0.5',-1337.715087890625
19,"(4, 3)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Mat_0.5',-1386.2291259765625
20,"(0, 4)",'RBF+RQ',-1821.930419921875
21,"(1, 4)",'RBF+AR2+RQ',-2272.04833984375
22,"(2, 4)",'RBF+AR2*Per_Year+RQ',-917.0499267578125
23,"(3, 4)",'RBF+AR2*Per_Year*RBF+RQ',-484.9781799316406
24,"(4, 4)",'RBF+AR2*Per_Year*RBF*Mat_1.5+RQ',-1260.060791015625
25,"(0, 5)",'RBF+AR2',-2305.77490234375
26,"(1, 5)",'RBF+AR2+AR2',-2290.93798828125
27,"(2, 5)",'RBF+AR2*Per_Year+AR2',-2284.088134765625
28,"(3, 5)",'RBF+AR2*Per_Year*RBF+AR2',-2275.9365234375
29,"(4, 5)",'RBF+AR2*Per_Year*RBF*Mat_1.5+AR2',-2275.38720703125
30,"(0, 6)",'RBF+Min',410.1044616699219
31,"(1, 6)",'RBF+AR2+Min',-2270.15283203125
32,"(2, 6)",'RBF+AR2*Per_Year+Min',-2269.99609375
33,"(3, 6)",'RBF+AR2*Per_Year*RBF+Min',-1875.6514892578125
34,"(4, 6)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Min',-2254.7607421875
35,"(0, 7)",'RBF+Per_Arb',-2054.43896484375
36,"(1, 7)",'RBF+AR2+Per_Arb',-2287.36474609375
37,"(2, 7)",'RBF+AR2*Per_Year+Per_Arb',-2283.25830078125
38,"(3, 7)",'RBF+AR2*Per_Year*RBF+Per_Arb',-2272.854248046875
39,"(4, 7)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Per_Arb',-2272.40673828125
40,"(0, 8)",'RBF+Per_Year',-2056.407958984375
41,"(1, 8)",'RBF+AR2+Per_Year',-2301.0576171875
42,"(2, 8)",'RBF+AR2*Per_Year+Per_Year',
43,"(3, 8)",'RBF+AR2*Per_Year*RBF+Per_Year',
44,"(4, 8)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Per_Year',-1583.4102783203125
45,"(0, 9)",'RBF+Per_Season',-2004.644287109375
46,"(1, 9)",'RBF+AR2+Per_Season',-2298.9853515625
47,"(2, 9)",'RBF+AR2*Per_Year+Per_Season',-2312.504150390625
48,"(3, 9)",'RBF+AR2*Per_Year*RBF+Per_Season',-2322.7138671875
49,"(4, 9)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Per_Season',-2275.82275390625
50,"(0, 10)",'RBF+Per_Month',-1983.417724609375
51,"(1, 10)",'RBF+AR2+Per_Month',-2293.90185546875
52,"(2, 10)",'RBF+AR2*Per_Year+Per_Month',-2306.33837890625
