path_location,Kernel,BIC
"(0, 0)",'RQ',-589.3276977539062
"(1, 0)",'RQ+AR2+RBF',-1818.6553955078125
"(2, 0)",'RQ+AR2+Mat_2.5+RBF',
"(3, 0)",'RQ+AR2+Mat_2.5+Per_Season+RBF',-2335.488037109375
"(0, 1)",'RQ+Mat_2.5',-2026.5035400390625
"(1, 1)",'RQ+AR2+Mat_2.5',-2372.06396484375
"(2, 1)",'RQ+AR2+Mat_2.5+Mat_2.5',-2287.383056640625
"(3, 1)",'RQ+AR2+Mat_2.5+Per_Season+Mat_2.5',-2276.408935546875
"(0, 2)",'RQ+Mat_1.5',
"(1, 2)",'RQ+AR2+Mat_1.5',-2036.7471923828125
"(2, 2)",'RQ+AR2+Mat_2.5+Mat_1.5',-2059.466064453125
"(3, 2)",'RQ+AR2+Mat_2.5+Per_Season+Mat_1.5',-2105.750732421875
"(0, 3)",'RQ+Mat_0.5',-1405.197998046875
"(1, 3)",'RQ+AR2+Mat_0.5',-1387.9805908203125
"(2, 3)",'RQ+AR2+Mat_2.5+Mat_0.5',-1268.0968017578125
"(3, 3)",'RQ+AR2+Mat_2.5+Per_Season+Mat_0.5',-1292.015380859375
"(0, 4)",'RQ+RQ',-1593.374267578125
"(1, 4)",'RQ+AR2+RQ',-2300.220703125
"(2, 4)",'RQ+AR2+Mat_2.5+RQ',
"(3, 4)",'RQ+AR2+Mat_2.5+Per_Season+RQ',-1999.889892578125
"(0, 5)",'RQ+AR2',-2319.484375
"(1, 5)",'RQ+AR2+AR2',-2082.740234375
"(2, 5)",'RQ+AR2+Mat_2.5+AR2',-2299.8193359375
"(3, 5)",'RQ+AR2+Mat_2.5+Per_Season+AR2',-2270.864501953125
"(0, 6)",'RQ+Min',415.71331787109375
"(1, 6)",'RQ+AR2+Min',-2257.7138671875
"(2, 6)",'RQ+AR2+Mat_2.5+Min',-2265.47119140625
"(3, 6)",'RQ+AR2+Mat_2.5+Per_Season+Min',-2250.330078125
"(0, 7)",'RQ+Per_Arb',-1342.093994140625
"(1, 7)",'RQ+AR2+Per_Arb',-1615.467529296875
"(2, 7)",'RQ+AR2+Mat_2.5+Per_Arb',
"(3, 7)",'RQ+AR2+Mat_2.5+Per_Season+Per_Arb',
"(0, 8)",'RQ+Per_Year',-1121.2637939453125
"(1, 8)",'RQ+AR2+Per_Year',-1460.984130859375
"(2, 8)",'RQ+AR2+Mat_2.5+Per_Year',-2342.200927734375
"(3, 8)",'RQ+AR2+Mat_2.5+Per_Season+Per_Year',
"(0, 9)",'RQ+Per_Season',-345.8760986328125
"(1, 9)",'RQ+AR2+Per_Season',-2125.3447265625
"(2, 9)",'RQ+AR2+Mat_2.5+Per_Season',-2385.0419921875
"(3, 9)",'RQ+AR2+Mat_2.5+Per_Season+Per_Season',-2352.20751953125
"(0, 10)",'RQ+Per_Month',-1755.4102783203125
"(1, 10)",'RQ+AR2+Per_Month',-2279.0830078125
"(2, 10)",'RQ+AR2+Mat_2.5+Per_Month',-1945.197998046875
"(3, 10)",'RQ+AR2+Mat_2.5+Per_Season+Per_Month',-2301.818603515625
"(0, 11)",'RQ+Per_Week',
"(1, 11)",'RQ+AR2+Per_Week',
"(2, 11)",'RQ+AR2+Mat_2.5+Per_Week',
"(3, 11)",'RQ+AR2+Mat_2.5+Per_Season+Per_Week',
"(0, 12)",'RQ*RBF',-1447.863525390625
"(1, 12)",'RQ+AR2*RBF',-2176.270263671875
"(2, 12)",'RQ+AR2+Mat_2.5*RBF',
"(3, 12)",'RQ+AR2+Mat_2.5+Per_Season*RBF',-2031.7081298828125
"(0, 13)",'RQ*Mat_2.5',-2060.086181640625
