path_location,Kernel,BIC
"(0, 0)",'AR2',-2272.004638671875
"(1, 0)",'AR2+RQ+RBF',-2294.23291015625
"(2, 0)",'AR2+RQ*AR2+RBF',-2288.347900390625
"(0, 1)",'AR2+Mat_2.5',-2309.920654296875
"(1, 1)",'AR2+RQ+Mat_2.5',
"(2, 1)",'AR2+RQ*AR2+Mat_2.5',-2299.701416015625
"(0, 2)",'AR2+Mat_1.5',
"(1, 2)",'AR2+RQ+Mat_1.5',-2093.62890625
"(2, 2)",'AR2+RQ*AR2+Mat_1.5',-2184.331298828125
"(0, 3)",'AR2+Mat_0.5',-1469.126708984375
"(1, 3)",'AR2+RQ+Mat_0.5',-1417.3536376953125
"(2, 3)",'AR2+RQ*AR2+Mat_0.5',
"(0, 4)",'AR2+RQ',-2321.2177734375
"(1, 4)",'AR2+RQ+RQ',-2260.403076171875
"(2, 4)",'AR2+RQ*AR2+RQ',-2292.1728515625
"(0, 5)",'AR2+AR2',-2257.720947265625
"(1, 5)",'AR2+RQ+AR2',-2294.870849609375
"(2, 5)",'AR2+RQ*AR2+AR2',-2238.291748046875
"(0, 6)",'AR2+Min',-2280.291748046875
"(1, 6)",'AR2+RQ+Min',-2268.46484375
"(2, 6)",'AR2+RQ*AR2+Min',-2270.628173828125
"(0, 7)",'AR2+Per_Arb',-2287.364501953125
"(1, 7)",'AR2+RQ+Per_Arb',-1502.4517822265625
"(2, 7)",'AR2+RQ*AR2+Per_Arb',-2272.469482421875
"(0, 8)",'AR2+Per_Year',-2288.484619140625
"(1, 8)",'AR2+RQ+Per_Year',-2292.7919921875
"(2, 8)",'AR2+RQ*AR2+Per_Year',-2273.097412109375
"(0, 9)",'AR2+Per_Season',-2262.667236328125
"(1, 9)",'AR2+RQ+Per_Season',-2281.17578125
"(2, 9)",'AR2+RQ*AR2+Per_Season',-2263.08203125
"(0, 10)",'AR2+Per_Month',-2257.616455078125
"(1, 10)",'AR2+RQ+Per_Month',-2253.571044921875
"(2, 10)",'AR2+RQ*AR2+Per_Month',-2312.694091796875
"(0, 11)",'AR2+Per_Week',-1956.3790283203125
"(1, 11)",'AR2+RQ+Per_Week',
"(2, 11)",'AR2+RQ*AR2+Per_Week',
"(0, 12)",'AR2*RBF',-2267.7333984375
"(1, 12)",'AR2+RQ*RBF',-2058.28466796875
