,0,1,2,3
0,Per_Arb,5632.11865234375,0.09047221019864082,"[['raw_outputscale', 0.6439011693000793], ['base_kernel.raw_lengthscale', 0.6456010937690735], ['base_kernel.raw_period_length', 0.48536330461502075]]"
1,Per_Year,5626.8359375,0.08620808258652687,"[['raw_outputscale', 0.6449125409126282], ['base_kernel.raw_lengthscale', 0.7423571944236755], ['base_kernel.raw_period_length', 0.09577727317810059]]"
2,Per_Season,5647.861328125,0.08798913130536676,"[['raw_outputscale', 0.644345223903656], ['base_kernel.raw_lengthscale', 0.7448043823242188], ['base_kernel.raw_period_length', 0.03199753537774086]]"
3,Per_Month,5657.36083984375,0.09077463060617447,"[['raw_outputscale', 0.6445006132125854], ['base_kernel.raw_lengthscale', 0.7443594336509705], ['base_kernel.raw_period_length', 0.008353956043720245]]"
4,Per_Week,5648.50537109375,0.09010655496269465,"[['raw_outputscale', 0.7447642087936401], ['base_kernel.raw_lengthscale', 0.6444083452224731], ['base_kernel.raw_period_length', 0.0018914343090727925]]"
5,RFF,5634.46240234375,0.09316516937687994,"[['raw_outputscale', 0.6448780298233032], ['base_kernel.raw_lengthscale', 0.6497925519943237]]"
6,RQ,5638.25341796875,0.09154263995587826,"[['raw_outputscale', 0.6445202231407166], ['base_kernel.raw_lengthscale', 0.7441600561141968], ['base_kernel.raw_alpha', 0.6446827054023743]]"
7,AR2,5697.80859375,0.09733114438131452,"[['raw_outputscale', 0.6444382071495056], ['base_kernel.raw_lengthscale', 0.7445945143699646], ['base_kernel.raw_period', 0.0024314499460160732]]"
8,Min,5619.5439453125,0.09208240132778883,"[['raw_outputscale', 0.6447724103927612], ['base_kernel.raw_offset', 0.09047806262969971]]"
9,RBF,5634.44384765625,0.0911769955791533,"[['raw_outputscale', 0.6442375183105469], ['base_kernel.raw_lengthscale', 0.6464540362358093]]"
10,Mat_2.5,5633.63818359375,0.09294164013117552,"[['raw_outputscale', 0.6445214748382568], ['base_kernel.raw_lengthscale', 0.7437519431114197]]"
11,Mat_1.5,5631.205078125,0.0954314110800624,"[['raw_outputscale', 0.6447505950927734], ['base_kernel.raw_lengthscale', 0.6459993720054626]]"
12,Mat_0.5,5628.41162109375,0.09151673229411245,"[['raw_outputscale', 0.6446033120155334], ['base_kernel.raw_lengthscale', 0.744396448135376]]"
