,Name,BIC,Full Kernel,Period
0,RBFplusRBFx<module 'pandas' from 'C:\\Users\\dcaos\\anaconda3\\envs\\GPs\\lib\\site-packages\\pandas\\__init__.py'>_exact_gp,tensor(-2258.5476),"AdditiveKernel(
  (kernels): ModuleList(
    (0): ScaleKernel(
      (base_kernel): RBFKernel(
        (raw_lengthscale_constraint): Positive()
        (distance_module): Distance()
      )
      (raw_outputscale_constraint): Positive()
    )
    (1): ScaleKernel(
      (base_kernel): ProductKernel(
        (kernels): ModuleList(
          (0): PeriodicKernel(
            (raw_lengthscale_constraint): Positive()
            (raw_period_length_constraint): Positive()
          )
          (1): RBFKernel(
            (raw_lengthscale_constraint): Positive()
            (distance_module): Distance()
          )
        )
      )
      (raw_outputscale_constraint): Positive()
    )
  )
)","tensor([[0.3229]], grad_fn=<SoftplusBackward0>)"
1,RBFplusRBFx<module 'pandas' from 'C:\\Users\\dcaos\\anaconda3\\envs\\GPs\\lib\\site-packages\\pandas\\__init__.py'>_exact_gp,tensor(-2174.3428),"AdditiveKernel(
  (kernels): ModuleList(
    (0): ScaleKernel(
      (base_kernel): RBFKernel(
        (raw_lengthscale_constraint): Positive()
        (distance_module): Distance()
      )
      (raw_outputscale_constraint): Positive()
    )
    (1): ScaleKernel(
      (base_kernel): ProductKernel(
        (kernels): ModuleList(
          (0): PeriodicKernel(
            (raw_lengthscale_constraint): Positive()
            (raw_period_length_constraint): Interval(1.000E-04, 1.000E+00)
          )
          (1): RBFKernel(
            (raw_lengthscale_constraint): Positive()
            (distance_module): Distance()
          )
        )
      )
      (raw_outputscale_constraint): Positive()
    )
  )
)","tensor([[0.0026]], grad_fn=<AddBackward0>)"
2,RBFplusRBFx<module 'pandas' from 'C:\\Users\\dcaos\\anaconda3\\envs\\GPs\\lib\\site-packages\\pandas\\__init__.py'>_exact_gp,tensor(-2286.5652),"AdditiveKernel(
  (kernels): ModuleList(
    (0): ScaleKernel(
      (base_kernel): RBFKernel(
        (raw_lengthscale_constraint): Positive()
        (distance_module): Distance()
      )
      (raw_outputscale_constraint): Positive()
    )
    (1): ScaleKernel(
      (base_kernel): ProductKernel(
        (kernels): ModuleList(
          (0): PeriodicKernel(
            (raw_lengthscale_constraint): Positive()
            (raw_period_length_constraint): Interval(1.000E-04, 1.000E+00)
          )
          (1): RBFKernel(
            (raw_lengthscale_constraint): Positive()
            (distance_module): Distance()
          )
        )
      )
      (raw_outputscale_constraint): Positive()
    )
  )
)","tensor([[0.0083]], grad_fn=<AddBackward0>)"
3,RBFplusMat0.5x<module 'pandas' from 'C:\\Users\\dcaos\\anaconda3\\envs\\GPs\\lib\\site-packages\\pandas\\__init__.py'>_exact_gp,tensor(-1278.3992),"AdditiveKernel(
  (kernels): ModuleList(
    (0): ScaleKernel(
      (base_kernel): RBFKernel(
        (raw_lengthscale_constraint): Positive()
        (distance_module): Distance()
      )
      (raw_outputscale_constraint): Positive()
    )
    (1): ScaleKernel(
      (base_kernel): ProductKernel(
        (kernels): ModuleList(
          (0): PeriodicKernel(
            (raw_lengthscale_constraint): Positive()
            (raw_period_length_constraint): Positive()
          )
          (1): MaternKernel(
            (raw_lengthscale_constraint): Interval(5.000E-03, 5.000E+00)
            (distance_module): Distance()
          )
        )
      )
      (raw_outputscale_constraint): Positive()
    )
  )
)","tensor([[1.4471]], grad_fn=<SoftplusBackward0>)"
4,RBFplusMat0.5x<module 'pandas' from 'C:\\Users\\dcaos\\anaconda3\\envs\\GPs\\lib\\site-packages\\pandas\\__init__.py'>_exact_gp,tensor(-2014.5176),"AdditiveKernel(
  (kernels): ModuleList(
    (0): ScaleKernel(
      (base_kernel): RBFKernel(
        (raw_lengthscale_constraint): Positive()
        (distance_module): Distance()
      )
      (raw_outputscale_constraint): Positive()
    )
    (1): ScaleKernel(
      (base_kernel): ProductKernel(
        (kernels): ModuleList(
          (0): PeriodicKernel(
            (raw_lengthscale_constraint): Positive()
            (raw_period_length_constraint): Interval(1.000E-04, 1.000E+00)
          )
          (1): MaternKernel(
            (raw_lengthscale_constraint): Interval(5.000E-03, 5.000E+00)
            (distance_module): Distance()
          )
        )
      )
      (raw_outputscale_constraint): Positive()
    )
  )
)","tensor([[0.0023]], grad_fn=<AddBackward0>)"
5,RBFplusMat0.5x<module 'pandas' from 'C:\\Users\\dcaos\\anaconda3\\envs\\GPs\\lib\\site-packages\\pandas\\__init__.py'>_exact_gp,tensor(-2457.3533),"AdditiveKernel(
  (kernels): ModuleList(
    (0): ScaleKernel(
      (base_kernel): RBFKernel(
        (raw_lengthscale_constraint): Positive()
        (distance_module): Distance()
      )
      (raw_outputscale_constraint): Positive()
    )
    (1): ScaleKernel(
      (base_kernel): ProductKernel(
        (kernels): ModuleList(
          (0): PeriodicKernel(
            (raw_lengthscale_constraint): Positive()
            (raw_period_length_constraint): Interval(1.000E-04, 1.000E+00)
          )
          (1): MaternKernel(
            (raw_lengthscale_constraint): Interval(5.000E-03, 5.000E+00)
            (distance_module): Distance()
          )
        )
      )
      (raw_outputscale_constraint): Positive()
    )
  )
)","tensor([[0.0072]], grad_fn=<AddBackward0>)"
6,RBFplusMat1.5x<module 'pandas' from 'C:\\Users\\dcaos\\anaconda3\\envs\\GPs\\lib\\site-packages\\pandas\\__init__.py'>_exact_gp,tensor(1118.1742),"AdditiveKernel(
  (kernels): ModuleList(
    (0): ScaleKernel(
      (base_kernel): RBFKernel(
        (raw_lengthscale_constraint): Positive()
        (distance_module): Distance()
      )
      (raw_outputscale_constraint): Positive()
    )
    (1): ScaleKernel(
      (base_kernel): ProductKernel(
        (kernels): ModuleList(
          (0): PeriodicKernel(
            (raw_lengthscale_constraint): Positive()
            (raw_period_length_constraint): Positive()
          )
          (1): MaternKernel(
            (raw_lengthscale_constraint): Interval(1.000E-02, 2.500E+00)
            (distance_module): Distance()
          )
        )
      )
      (raw_outputscale_constraint): Positive()
    )
  )
)","tensor([[0.0222]], grad_fn=<SoftplusBackward0>)"
7,RBFplusMat1.5x<module 'pandas' from 'C:\\Users\\dcaos\\anaconda3\\envs\\GPs\\lib\\site-packages\\pandas\\__init__.py'>_exact_gp,tensor(2340.8342),"AdditiveKernel(
  (kernels): ModuleList(
    (0): ScaleKernel(
      (base_kernel): RBFKernel(
        (raw_lengthscale_constraint): Positive()
        (distance_module): Distance()
      )
      (raw_outputscale_constraint): Positive()
    )
    (1): ScaleKernel(
      (base_kernel): ProductKernel(
        (kernels): ModuleList(
          (0): PeriodicKernel(
            (raw_lengthscale_constraint): Positive()
            (raw_period_length_constraint): Interval(1.000E-04, 1.000E+00)
          )
          (1): MaternKernel(
            (raw_lengthscale_constraint): Interval(1.000E-02, 2.500E+00)
            (distance_module): Distance()
          )
        )
      )
      (raw_outputscale_constraint): Positive()
    )
  )
)","tensor([[0.0032]], grad_fn=<AddBackward0>)"
8,RBFplusMat1.5x<module 'pandas' from 'C:\\Users\\dcaos\\anaconda3\\envs\\GPs\\lib\\site-packages\\pandas\\__init__.py'>_exact_gp,tensor(-2221.9939),"AdditiveKernel(
  (kernels): ModuleList(
    (0): ScaleKernel(
      (base_kernel): RBFKernel(
        (raw_lengthscale_constraint): Positive()
        (distance_module): Distance()
      )
      (raw_outputscale_constraint): Positive()
    )
    (1): ScaleKernel(
      (base_kernel): ProductKernel(
        (kernels): ModuleList(
          (0): PeriodicKernel(
            (raw_lengthscale_constraint): Positive()
            (raw_period_length_constraint): Interval(1.000E-04, 1.000E+00)
          )
          (1): MaternKernel(
            (raw_lengthscale_constraint): Interval(1.000E-02, 2.500E+00)
            (distance_module): Distance()
          )
        )
      )
      (raw_outputscale_constraint): Positive()
    )
  )
)","tensor([[0.0108]], grad_fn=<AddBackward0>)"
9,RBFplusMat2.5x<module 'pandas' from 'C:\\Users\\dcaos\\anaconda3\\envs\\GPs\\lib\\site-packages\\pandas\\__init__.py'>_exact_gp,tensor(-2454.2295),"AdditiveKernel(
  (kernels): ModuleList(
    (0): ScaleKernel(
      (base_kernel): RBFKernel(
        (raw_lengthscale_constraint): Positive()
        (distance_module): Distance()
      )
      (raw_outputscale_constraint): Positive()
    )
    (1): ScaleKernel(
      (base_kernel): ProductKernel(
        (kernels): ModuleList(
          (0): PeriodicKernel(
            (raw_lengthscale_constraint): Positive()
            (raw_period_length_constraint): Positive()
          )
          (1): MaternKernel(
            (raw_lengthscale_constraint): Interval(2.500E-02, 7.500E+00)
            (distance_module): Distance()
          )
        )
      )
      (raw_outputscale_constraint): Positive()
    )
  )
)","tensor([[0.0958]], grad_fn=<SoftplusBackward0>)"
