,Kernel Name,s1_ls_converted,s2_ls_converted,pk1_ls_converted,pk1_pr_converted,pk2_ls_converted,pk2_pr_converted,s3_ls_converted,s1_ls_raw,s2_ls_raw,pk1_ls_raw,pk1_pr_raw,pk2_ls_raw,pk2_pr_raw,s3_ls_raw,add_scale2_K2,add_period1_K3,scale3_mult_K4,scale3_mult_K4,Unnamed: 0.1,Kernel,Length_Scale_for_smoothing_term_1 (Days),Length_Scale_for_smoothing_term_2 (Days),Length_Scale_for_periodic_term_2 (Days),Period_Length_for_periodic_term_2 (Days),Unnamed: 0,add_scale1_K1,scale2_mult_K2,scale2_mult_K3,BIC,s1_ls,s2_ls,pk_ls,pk_pr
0,,,,,,,,,,,,,,,,,,,,0,Scale(RBF)+Scale(Per_Arb*RBF),10756.6759437278,330.764572214197,0.285056901759365,836.139177287066,0.0,RBF,Per_Arb,RBF,-2421.5458984375,2.83313417434692,0.0871180295944213,7.50793697079644e-05,0.220225512981415
1,,,,,,,,,,,,,,,,,,,,1,Scale(RBF)+Scale(Per_Week*RBF),1.46400321650953,9330.28934054905,10601.4363489504,6.01026690958258,1.0,RBF,Per_Week,RBF,-2233.62768554688,0.0003855947288684,2.45744705200195,2.7922465801239,0.0015830069314688
2,,,,,,,,,,,,,,,,,,,,2,Scale(RBF)+Scale(Per_Month*RBF),1.11253041553256,967.088724736814,8690.56950576217,33.1760865786558,2.0,RBF,Per_Month,RBF,-2027.20971679688,0.0002930224873125,0.254715502262116,2.2889552116394,0.0087380437180399
3,,,,,,,,,,,,,,,,,,,,3,Scale(RBF)+Scale(Per_Arb*Mat0.5),5011.11818765711,121.518014501642,5664.37005954319,5628.21854669076,3.0,RBF,Per_Arb,Mat0.5,-1908.70288085938,1.31984734535217,0.0320058763027191,1.49190330505371,1.48238158226013
4,,,,,,,,,,,,,,,,,,,,4,Scale(RBF)+Scale(Per_Week*Mat0.5),6075.71493000454,220.108936232549,15862.1870829264,7.80714582776018,4.0,RBF,Per_Week,Mat0.5,-1827.23706054688,1.6002448797226,0.0579731278121471,4.17784309387207,0.0020562757272273
5,,,,,,,,,,,,,,,,,,,,5,Scale(RBF)+Scale(Per_Month*Mat0.5),4799.14478732921,221.984807407414,753.243116520069,42.8857640646119,5.0,RBF,Per_Month,Mat0.5,-1805.13562011719,1.26401698589325,0.0584672018885612,0.198392033576965,0.0112954154610633
6,,,,,,,,,,,,,,,,,,,,6,Scale(RBF)+Scale(Per_Arb*Mat1.5),6690.62784053661,38.2071749932236,389.385691404343,280.212865908941,6.0,RBF,Per_Arb,Mat1.5,-1798.73913574219,1.76220297813416,0.0100631508976221,0.102557882666588,0.0738035291433334
7,,,,,,,,,,,,,,,,,,,,7,Scale(RBF)+Scale(Per_Week*Mat1.5),5873.19060113695,43.8469947565485,18121.7448945222,9.17790343143304,7.0,RBF,Per_Week,Mat1.5,-1734.70581054688,1.54690325260162,0.011548588052392,4.77297401428223,0.0024173110723495
8,,,,,,,,,,,,,,,,,,,,8,Scale(RBF)+Scale(Per_Month*Mat1.5),5552.48023562961,61.4851723754844,859.79727241728,33.2258132111143,8.0,RBF,Per_Month,Mat1.5,-1713.60815429688,1.46243333816528,0.0161941982805728,0.226456671953201,0.0087511409074068
9,,,,,,,,,,,,,,,,,,,,9,Scale(RBF)+Scale(Per_Arb*Mat2.5),12577.2187702038,121.817838196401,1.81630564922527,415.032993272499,9.0,RBF,Per_Arb,Mat2.5,-1398.57116699219,3.31263566017151,0.0320848450064659,0.0004783854819834,0.10931296646595
