,ModelIteration,KernelStructure,BIC,"(1, ""'kernels.0.raw_outputscale'"")","(1, ""'raw_outputscale'"")","(3, ""'base_kernel.kernels.0.raw_lengthscale'"")","(3, ""'kernels.0.base_kernel.kernels.0.raw_lengthscale'"")","(5, ""'base_kernel.kernels.0.raw_period'"")","(5, ""'kernels.0.base_kernel.kernels.0.raw_period'"")","(7, ""'base_kernel.kernels.1.raw_lengthscale'"")","(7, ""'kernels.0.base_kernel.kernels.1.raw_lengthscale'"")","(9, nan)","(9, ""'kernels.1.raw_outputscale'"")","(11, nan)","(11, ""'kernels.1.base_kernel.kernels.0.raw_lengthscale'"")","(11, ""'kernels.1.base_kernel.raw_lengthscale'"")","(13, nan)","(13, ""'kernels.1.base_kernel.kernels.0.raw_alpha'"")","(13, ""'kernels.1.base_kernel.raw_alpha'"")","(15, nan)","(15, ""'kernels.1.base_kernel.kernels.1.raw_lengthscale'"")","(15, ""'kernels.2.raw_outputscale'"")","(17, nan)","(17, ""'kernels.1.base_kernel.kernels.1.raw_alpha'"")","(17, ""'kernels.2.base_kernel.raw_lengthscale'"")","(17, ""'kernels.2.base_kernel.raw_offset'"")","(19, nan)","(19, ""'kernels.1.base_kernel.kernels.2.raw_lengthscale'"")","(19, ""'kernels.1.base_kernel.kernels.2.raw_offset'"")","(19, ""'kernels.2.base_kernel.raw_alpha'"")","(19, ""'kernels.2.base_kernel.raw_period'"")","(19, ""'kernels.2.base_kernel.raw_period_length'"")","(19, ""'kernels.2.raw_outputscale'"")","(21, nan)","(21, ""'kernels.1.base_kernel.kernels.2.raw_alpha'"")","(21, ""'kernels.1.base_kernel.kernels.2.raw_period'"")","(21, ""'kernels.1.base_kernel.kernels.2.raw_period_length'"")","(21, ""'kernels.2.base_kernel.raw_lengthscale'"")","(21, ""'kernels.2.base_kernel.raw_offset'"")","(23, nan)","(23, ""'kernels.2.base_kernel.raw_alpha'"")","(23, ""'kernels.2.base_kernel.raw_period'"")","(23, ""'kernels.2.base_kernel.raw_period_length'"")"
0,"(0, 0)",AR2*RFF,-2267.9384765625,,291.41946601867676,1.519400472511296,,5.1820729930229765,,7011.094250996908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"(1, 0)",AR2*RFF,-2267.9345703125,,291.4016163393303,1.519405113498646,,5.1816053582976265,,7025.711639121727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"(1, 1)",AR2*RFF+RQ,-2303.14501953125,149.4464827599349,,,2.3498242729929864,,2.9394018249586225,,7162.558200129756,,26102.4568105627,,,30.02434168148924,,,4.410600781854656,,,,,,,,,,,,,,,,,,,,,,,,
3,"(2, 0)",AR2*RFF+RQ,-2283.574951171875,160.08944600599784,,,2.3514313806124307,,2.988226337875757,,7159.46372766848,,24228.849461590802,,,35.04817070784392,,,4.647048921358806,,,,,,,,,,,,,,,,,,,,,,,,
4,"(2, 1)",AR2*RFF+RQ+RQ,-2149.17236328125,80.92251846635783,,,8.474759372020209,,3.005966180521581,,7052.133464318735,,23419.231909292717,,,19.17207786192497,,,4.727038327328585,,,23419.231909292717,,,19.17207786192497,,,,,4.727038327328585,,,,,,,,,,,,,
5,"(2, 2)",AR2*RFF+RQ+RBF,-2282.913818359375,175.1656925280889,,,2.052682184924682,,3.1655900674285715,,7136.024128454703,,23775.857074313695,,,48.24175695357499,,,4.098396258842614,,,180.4279533845407,,,8378.201135564734,,,,,,,,,,,,,,,,,,
6,"(2, 3)",AR2*RFF+RQ+Mat_2.5,-2266.966796875,43.53095500999027,,,6.39341002923471,,1.952151547944932,,7090.386430387144,,4.426612630210541,,,8560.018704873544,,,3494.192353248596,,,281.3834484462385,,,2.048842541390547,,,,,,,,,,,,,,,,,,
7,"(2, 4)",AR2*RFF+RQ+Mat_1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"(2, 5)",AR2*RFF+RQ+Mat_0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"(2, 6)",AR2*RFF+RQ+AR2,-2298.544189453125,40.57719021318135,,,15.58682938637557,,6.79690851940325,,7075.175222184923,,22496.471717551904,,,62.604391116786886,,,4.173413620364887,,,141.212561459453,,,2.07909360193406,,,,,,2.8258868103708936,,,,,,,,,,,,
